run; iterations; problem; colony size; Fitness; Total Time 
 10; 50; 1; 1024; 3800; 0.04273
 10; 50; 1; 1024; 3800; 0.03976
 10; 50; 1; 1024; 3800; 0.03940
 10; 50; 1; 1024; 3800; 0.03923
 10; 50; 1; 1024; 3800; 0.03920
 10; 50; 1; 1024; 3800; 0.03924
 10; 50; 1; 1024; 3800; 0.03924
 10; 50; 1; 1024; 3800; 0.02981
 10; 50; 1; 1024; 3800; 0.02983
 10; 50; 1; 1024; 3800; 0.02991
 10; 50; 1; 2048; 3800; 0.03238
 10; 50; 1; 2048; 3800; 0.03243
 10; 50; 1; 2048; 3800; 0.03240
 10; 50; 1; 2048; 3800; 0.03237
 10; 50; 1; 2048; 3800; 0.03236
 10; 50; 1; 2048; 3800; 0.03233
 10; 50; 1; 2048; 3800; 0.03236
 10; 50; 1; 2048; 3800; 0.03234
 10; 50; 1; 2048; 3800; 0.03226
 10; 50; 1; 2048; 3800; 0.03226
 10; 50; 1; 4096; 3800; 0.03684
 10; 50; 1; 4096; 3800; 0.03669
 10; 50; 1; 4096; 3800; 0.03670
 10; 50; 1; 4096; 3800; 0.03674
 10; 50; 1; 4096; 3800; 0.03673
 10; 50; 1; 4096; 3800; 0.03676
 10; 50; 1; 4096; 3800; 0.03674
 10; 50; 1; 4096; 3800; 0.03679
 10; 50; 1; 4096; 3800; 0.03679
 10; 50; 1; 4096; 3800; 0.03673
 10; 50; 1; 8192; 3800; 0.04577
 10; 50; 1; 8192; 3800; 0.04566
 10; 50; 1; 8192; 3800; 0.04585
 10; 50; 1; 8192; 3800; 0.04574
 10; 50; 1; 8192; 3800; 0.04563
 10; 50; 1; 8192; 3800; 0.04577
 10; 50; 1; 8192; 3800; 0.04563
 10; 50; 1; 8192; 3800; 0.04562
 10; 50; 1; 8192; 3800; 0.04563
 10; 50; 1; 8192; 3800; 0.04561
